RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
394604,580,"Fort Leonard Wood, MO",msa,MO,138333,125733,123067,117700,119800,120467,130500,138167,134417,133583,128417,127500,118833,119817,123567,126817,132800,141367,148450,147300,140067,135900,132497,135747,139047,140200,141867,142051,151817,156684,163183,161850,161550,153233,151233,151667,153000,155667,150650,150983,155650,163300,168467,166100,165100,163683,164508,164964,162714,158556,159117,163783,167975,170325,176125,182133,188633,183333,179833,173333,177333,177333,183983,187317,190317,197000,205750,206083,201817,191233,191233,187833,178283,173283,182283,201300,218576,220743,225776,223467
394993,581,"Poplar Bluff, MO",msa,MO,,,,,,,,,,,,,,,,,,,,,,,,,,97667,96167,109333,120417,127417,121317,125400,130217,128350,126183,116533,115333,114000,120917,125583,128917,126400,126733,126233,125650,128817,133317,138400,137750,138717,138483,144300,134667,140167,135418,138418,131084,133167,133500,127333,129783,126117,126033,128583,133917,144667,150000,153000,157633,152633,154300,145983,141817,134483,134500,143000,138998,142332,141598,159300
394562,582,"Elizabeth City, NC",msa,NC,119333,111150,126817,132164,150347,162981,175967,164133,162500,151833,152333,138500,141583,145583,150349,160083,167416,187567,181250,186000,188250,194750,209167,218588,211505,191172,168417,161500,172167,179500,188500,179978,174295,178128,173972,181655,184488,196625,198608,200858,205233,203917,209083,202417,211417,214000,218667,215500,203833,201667,199167,209167,221667,236667,245500,247167,233150,220150,213150,222167,244667,253333,251667,249167,251000,255667,254833,244500,239500,225500,234000,229000,236333,226333,241333,242000,247833,251500,246500,243983
394967,583,"Payson, AZ",msa,AZ,195000,208083,218500,226417,222683,211017,219350,222483,232483,224150,227483,218817,220967,211483,222150,218667,230000,234333,240667,236300,228633,232133,239717,243883,247050,233667,227500,229833,250000,265000,261000,263333,261667,270917,262583,252583,236667,243333,253833,263000,248000,256667,266983,298617,303950,314883,313250,317917,307500,305833,294167,297167,320500,354667,382667,376000,367667,375000,386667,395833,388833,378083,381417,380617,390533,390533,395000,379167,379250,399250,406388,377138,345438,333300,331967,343333,363333,388000,416667,440000
394344,584,"Athens, TN",msa,TN,132417,119333,111083,106750,111750,116483,122517,123183,116700,110000,105255,104922,109422,116800,124433,123267,126300,128000,136333,139667,136333,129667,128167,134250,130067,126983,127233,134083,142300,139883,147217,143917,144000,140333,143667,145667,137650,131650,135983,148333,151000,139500,135500,140467,147300,154967,148667,152167,147833,157583,165083,170733,181317,187983,195667,200000,199000,210667,213667,213000,210000,209333,215667,216967,228967,240800,234667,230317,218817,221817,217500,215000,211500,207500,215730,224897,234063,238333,245500,244633
394571,585,"Enterprise, AL",msa,AL,120000,129750,122750,124317,122650,127650,129167,146614,146281,138414,120633,131300,124093,129093,118426,134000,150000,153483,163150,148817,150333,141500,147833,143833,150667,140333,143386,138352,147852,156775,152808,156892,159317,158317,156233,146500,145333,131083,134417,150417,159167,161167,163667,170333,166500,159000,160667,161833,157667,152500,156500,169000,177500,177230,174730,177188,188792,189686,185561,181561,178317,189983,188250,197100,193600,196333,207167,217833,214167,198167,191000,193000,186167,191083,189417,202917,198833,211667,228667,227083
394339,586,"Ashland, OH",msa,OH,,,111667,105500,114333,115333,118833,115833,109167,113167,116833,126800,124467,116967,112333,114167,122067,128517,128350,127117,125667,127667,132333,132000,128000,120167,116830,128313,143980,145650,141500,133000,146333,146000,148833,139167,134167,128667,124833,134833,149000,154167,147167,139650,140567,154567,158583,162500,145600,140600,133600,148500,150333,154483,153650,146875,153225,156558,173333,181633,189133,184300,166250,159167,163167,178083,186800,192800,200633,192333,182833,164833,162167,164167,160983,150317,153150,173000,194650,194650
394861,588,"Milledgeville, GA",msa,GA,150183,138300,129967,121433,146100,160933,167500,164667,144167,162833,171042,177442,166442,143067,155667,148333,175000,170333,180333,173667,159333,161000,164317,174150,159150,146167,142878,146128,154095,172883,177633,171000,158833,160800,172133,175633,184000,179000,184667,197667,201333,212500,209500,238154,226654,228321,209333,198000,165717,173383,205383,242667,260333,247667,270583,283917,286917,262333,268925,263842,247175,211917,237967,276300,276633,270667,263967,288967,282300,268667,242000,260833,285333,287833,286667,280583,283183,276850,297933,355200
394742,589,"Kerrville, TX",msa,TX,204983,203233,202900,219150,226750,233750,226800,220550,206217,213802,221385,236885,239667,240000,229333,225667,227833,252167,258417,254275,235275,235692,248167,251500,243333,237500,235567,238733,253542,268642,265308,249167,233417,261750,260083,265750,243250,258250,266500,267703,276870,274503,284821,283571,284354,298667,289083,302500,290650,327317,325317,347583,329500,342333,335917,342667,341417,348083,332717,337300,330300,342000,344667,356833,396167,407500,406667,378150,381983,366650,369817,332817,345808,325158,347658,363333,368333,371333,373667,392333
394363,590,"Bartlesville, OK",msa,OK,127000,113333,112700,114033,122700,119333,118333,121750,127083,123417,123333,130667,125000,119667,116667,125000,121000,119500,121167,125483,118317,116983,113667,126000,129000,138333,129583,125583,123917,133333,141667,136917,131750,126083,124083,117250,119333,125083,133750,124417,129583,131417,147000,141833,133833,128500,135250,144083,143383,140383,138050,152083,164917,169917,166750,161333,159750,156250,155083,157817,159483,152483,161000,169167,181167,188167,192333,195250,196417,189083,183667,169000,155667,147667,154333,154167,168000,166500,179333,174333
